2013-04-22 06:44:25 status half-installed libmount1:armhf 2.20.1-5.1ubuntu2
2013-04-22 06:44:26 status unpacked libmount1:armhf 2.20.1-5.1ubuntu2
2013-04-22 06:44:26 status unpacked libmount1:armhf 2.20.1-5.1ubuntu2
2013-04-22 06:44:26 install libncurses5:armhf <none> 5.9-10ubuntu1
2013-04-22 06:44:26 status half-installed libncurses5:armhf 5.9-10ubuntu1
2013-04-22 06:44:26 status unpacked libncurses5:armhf 5.9-10ubuntu1
2013-04-22 06:44:26 status unpacked libncurses5:armhf 5.9-10ubuntu1
2013-04-22 06:44:26 install libncursesw5:armhf <none> 5.9-10ubuntu1
2013-04-22 06:44:26 status half-installed libncursesw5:armhf 5.9-10ubuntu1
2013-04-22 06:44:26 status unpacked libncursesw5:armhf 5.9-10ubuntu1
2013-04-22 06:44:26 status unpacked libncursesw5:armhf 5.9-10ubuntu1
2013-04-22 06:44:26 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu11
2013-04-22 06:44:26 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu11
2013-04-22 06:44:26 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu11
2013-04-22 06:44:26 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu11
2013-04-22 06:44:26 install libnih1:armhf <none> 1.0.3-4ubuntu11
2013-04-22 06:44:26 status half-installed libnih1:armhf 1.0.3-4ubuntu11
2013-04-22 06:44:27 status unpacked libnih1:armhf 1.0.3-4ubuntu11
2013-04-22 06:44:27 status unpacked libnih1:armhf 1.0.3-4ubuntu11
2013-04-22 06:44:27 install libpam-modules:armhf <none> 1.1.3-7ubuntu3
2013-04-22 06:44:27 status half-installed libpam-modules:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam-modules:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam-modules:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 install libpam-modules-bin:armhf <none> 1.1.3-7ubuntu3
2013-04-22 06:44:29 status half-installed libpam-modules-bin:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam-modules-bin:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam-modules-bin:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 install libpam-runtime:all <none> 1.1.3-7ubuntu3
2013-04-22 06:44:29 status half-installed libpam-runtime:all 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam-runtime:all 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam-runtime:all 1.1.3-7ubuntu3
2013-04-22 06:44:29 install libpam0g:armhf <none> 1.1.3-7ubuntu3
2013-04-22 06:44:29 status half-installed libpam0g:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam0g:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:29 status unpacked libpam0g:armhf 1.1.3-7ubuntu3
2013-04-22 06:44:30 install libpcre3:armhf <none> 1:8.30-5ubuntu1
2013-04-22 06:44:30 status half-installed libpcre3:armhf 1:8.30-5ubuntu1
2013-04-22 06:44:30 status unpacked libpcre3:armhf 1:8.30-5ubuntu1
2013-04-22 06:44:30 status unpacked libpcre3:armhf 1:8.30-5ubuntu1
2013-04-22 06:44:30 install libplymouth2:armhf <none> 0.8.4-0ubuntu3
2013-04-22 06:44:30 status half-installed libplymouth2:armhf 0.8.4-0ubuntu3
2013-04-22 06:44:30 status unpacked libplymouth2:armhf 0.8.4-0ubuntu3
2013-04-22 06:44:30 status unpacked libplymouth2:armhf 0.8.4-0ubuntu3
2013-04-22 06:44:30 install libpng12-0:armhf <none> 1.2.49-1ubuntu1
2013-04-22 06:44:30 status half-installed libpng12-0:armhf 1.2.49-1ubuntu1
2013-04-22 06:44:30 status unpacked libpng12-0:armhf 1.2.49-1ubuntu1
2013-04-22 06:44:30 status unpacked libpng12-0:armhf 1.2.49-1ubuntu1
2013-04-22 06:44:30 install libprocps0:armhf <none> 1:3.3.3-2ubuntu3
2013-04-22 06:44:30 status half-installed libprocps0:armhf 1:3.3.3-2ubuntu3
2013-04-22 06:44:30 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu3
2013-04-22 06:44:30 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu3
2013-04-22 06:44:31 install libselinux1:armhf <none> 2.1.9-5ubuntu1
2013-04-22 06:44:31 status half-installed libselinux1:armhf 2.1.9-5ubuntu1
2013-04-22 06:44:31 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2013-04-22 06:44:31 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2013-04-22 06:44:31 install libslang2:armhf <none> 2.2.4-15ubuntu1
2013-04-22 06:44:31 status half-installed libslang2:armhf 2.2.4-15ubuntu1
2013-04-22 06:44:31 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2013-04-22 06:44:31 status unpacked libslang2:armhf 2.2.4-15ubuntu1
